Family,SpeciesName,WoodDensity
Rutaceae,Acronychia oligophlebia,0.37
Rutaceae,Acronychia pedunculata,0.439
Rutaceae,Acronychia pedunculata,0.52
Rutaceae,Acronychia pedunculata,0.417
Rutaceae,Acronychia porteri,0.52
Rutaceae,Acronychia pullei,0.65
Rutaceae,Acronychia trifoliolata,0.55
Rutaceae,Acronychia vestita,0.497
Rutaceae,Acronychia vestita,0.508
Rutaceae,Acronychia vestita,0.607
Rutaceae,Acronychia wilcoxiana,0.551
Lauraceae,Actinodaphne borneensis,0.5
Lauraceae,Actinodaphne glabra,0.52
Lauraceae,Actinodaphne glomerata,0.41
Lauraceae,Actinodaphne maingayi,0.59
Lauraceae,Actinodaphne malaccensis,0.55
Lauraceae,Actinodaphne procera,0.4
Lauraceae,Actinodaphne sesquipedalis,0.65
Lauraceae,Actinodaphne sphaerocarpa,0.46
Euphorbiaceae,Actinostemon lanceolatus,0.907
Malvaceae,Adansonia digitata,0.276
Euphorbiaceae,Adelia oaxacana,0.87
Euphorbiaceae,Adelia triloba,0.543
Fabaceae,Adenanthera bicolor,0.85
Fabaceae,Adenanthera intermedia,0.78
Fabaceae,Adenanthera microsperma,0.64
Fabaceae,Adenanthera pavonina,0.7
Fabaceae,Adenanthera pavonina,0.573
Fabaceae,Adenanthera pavonina,0.637
Fabaceae,Adenanthera pavonina,0.57
Fabaceae,Adenanthera pavonina,0.88
Fabaceae,Adenanthera pavonina,0.77
Fabaceae,Adenanthera pavonina,0.598
Fabaceae,Adenanthera pavonina,0.68
Fabaceae,Adenanthera pavonina,0.775
Fabaceae,Adenanthera tamarindifolia,0.73
Rosaceae,Adenostoma fasciculatum,0.75
Rubiaceae,Adina cordifolia,0.59
Rubiaceae,Adina globiflora,0.92
Rubiaceae,Adina microcephala,0.75
Rubiaceae,Adina pilulifera,0.865
Rubiaceae,Adina pilulifera,0.917
Rubiaceae,Adina polycephala,0.76
Rubiaceae,Adina polycephala,0.603
Rubiaceae,Adina rubescens,0.71
Rubiaceae,Adina sessilifolia,0.603
Pentaphylacaeae,Adinandra acuminata,0.48
Pentaphylacaeae,Adinandra acutifolia,0.629
Pentaphylacaeae,Adinandra acutifolia,0.639
Pentaphylacaeae,Adinandra borneensis,0.48
Pentaphylacaeae,Adinandra collina,0.61
Pentaphylacaeae,Adinandra collina,0.33
Pentaphylacaeae,Adinandra cordifolia,0.5
Pentaphylacaeae,Adinandra dasyantha,0.46
Pentaphylacaeae,Adinandra dumosa,0.49
Pentaphylacaeae,Adinandra dumosa,0.59
Pentaphylacaeae,Adinandra forbesii,0.63
Pentaphylacaeae,Adinandra hainanensis,0.47
Pentaphylacaeae,Adinandra integerrima,0.56
Pentaphylacaeae,Adinandra javanica,0.51
Pentaphylacaeae,Adinandra lamponga,0.53
Pentaphylacaeae,Adinandra maculosa,0.51
Pentaphylacaeae,Adinandra millettii,0.44
Pentaphylacaeae,Adinandra polyneura,0.52
Pentaphylacaeae,Adinandra rantepaoensis,0.4
Pentaphylacaeae,Adinandra sarosanthera,0.53
Pentaphylacaeae,Adinandra subauriculata,0.58
Pentaphylacaeae,Adinandra subunguiculata,0.5
Rubiaceae,Adinauclea fagifolia,0.65
Rutaceae,Adiscanthus fusciflorus,0.82
Myrsinaceae,Aegiceras corniculatum,0.51
Myrsinaceae,Aegiceras floridum,0.68
Lamiaceae,Aegiphila integrifolia,0.86
Lamiaceae,Aegiphila intermedia,0.43
Lamiaceae,Aegiphila klotzkiana,0.68
Rutaceae,Aegle marmelos,0.88
Rutaceae,Aegle marmelos,0.771
Sapindaceae,Aesculus chinensis,0.6
Sapindaceae,Aesculus flava,0.347
Sapindaceae,Aesculus hippocastanum,0.5
Sapindaceae,Aesculus indica,0.465
Sapindaceae,Aesculus octandra,0.33
Sapindaceae,Aesculus turbinata,0.45
Thymelaeaceae,Aetoxylon sympetalum,0.74
Cornaceae,Afrocrania volkensii,0.81
Cornaceae,Afrocrania volkensii,0.516
Fabaceae,Afzelia africana,0.67
Fabaceae,Afzelia africana,0.689
Fabaceae,Afzelia africana,0.63
Fabaceae,Afzelia africana,0.68
Fabaceae,Afzelia africana,0.706
Fabaceae,Afzelia africana,0.688
Fabaceae,Afzelia africana,0.624
Fabaceae,Afzelia africana,0.683
Fabaceae,Afzelia africana,0.693
Fabaceae,Afzelia africana,0.715
Fabaceae,Afzelia africana,0.721
Fabaceae,Afzelia africana,0.721
Fabaceae,Afzelia africana,0.774
Fabaceae,Afzelia africana,0.703
Fabaceae,Afzelia bella,0.637
Fabaceae,Afzelia bipindensis,0.689
Fabaceae,Afzelia bipindensis,0.695
Fabaceae,Afzelia bipindensis,0.66
Fabaceae,Afzelia bipindensis,0.661
Fabaceae,Afzelia bipindensis,0.752
Fabaceae,Afzelia bipindensis,0.768
Fabaceae,Afzelia bipindensis,0.781
Fabaceae,Afzelia bipindensis,0.805
Fabaceae,Afzelia bipindensis,0.825
Fabaceae,Afzelia bipindensis,0.703
Fabaceae,Afzelia bipindensis,0.706
Fabaceae,Afzelia bracteata,0.68
Fabaceae,Afzelia indet,0.689
Fabaceae,Afzelia indet,0.67
Fabaceae,Afzelia javanica,0.54
Fabaceae,Afzelia javanica,0.57
Fabaceae,Afzelia javanica,0.72
Fabaceae,Afzelia pachyloba,0.689
Fabaceae,Afzelia pachyloba,0.64
Fabaceae,Afzelia pachyloba,0.663
Fabaceae,Afzelia pachyloba,0.615
Fabaceae,Afzelia pachyloba,0.665
Fabaceae,Afzelia pachyloba,0.673
Fabaceae,Afzelia pachyloba,0.742
Fabaceae,Afzelia pachyloba,0.76
Fabaceae,Afzelia pachyloba,0.703
Fabaceae,Afzelia parviflora,0.679
Fabaceae,Afzelia quanzensis,0.689
Fabaceae,Afzelia quanzensis,0.67
Fabaceae,Afzelia quanzensis,0.745
Fabaceae,Afzelia quanzensis,0.76
Fabaceae,Afzelia rhomboidea,0.59
Araucariaceae,Agathis alba,0.38
Araucariaceae,Agathis atropurpurea,0.413
Araucariaceae,Agathis australis,0.45
Araucariaceae,Agathis borneensis,0.4
Araucariaceae,Agathis borneensis,0.38
Araucariaceae,Agathis borneensis,0.37
Araucariaceae,Agathis dammara,0.49
Araucariaceae,Agathis dammara,0.413
Araucariaceae,Agathis labillardieri,0.38
Araucariaceae,Agathis microstachya,0.458
Araucariaceae,Agathis microstachya,0.413
Araucariaceae,Agathis philippinensis,0.45
Araucariaceae,Agathis robusta,0.397
Araucariaceae,Agathis robusta,0.401
Araucariaceae,Agathis robusta,0.413
Araucariaceae,Agathis robusta,0.413
Araucariaceae,Agathis robusta,0.38
Araucariaceae,Agathis vitiensis,0.45
Meliaceae,Aglaia agglomerata,0.62
Meliaceae,Aglaia argentea,0.58
Meliaceae,Aglaia argentea,0.63
