feature,score,p_value,rank
dist2,571.5454649147831,7.176810756452252e-126,207
V116,569.1495385334686,2.3627613447073325e-125,208
V110,563.3071811100596,4.318890215180291e-124,209
V265,517.4711938375272,3.467257628292978e-114,210
V10,512.8709986626573,3.423207911543939e-113,211
V11,485.84177258689976,2.3932198827610983e-107,212
id_18,481.02262072324976,2.6381839970354577e-106,213
D15,439.6649625661238,2.3439567182390266e-97,214
V281,394.51308974619536,1.4028055640228726e-87,215
D10,384.60309452435837,1.9677363329440986e-85,216
dist1_isna,359.90670102068697,4.427412216495943e-80,217
V124,359.40002595071473,5.7014260283310306e-80,218
V67,349.52204997375475,7.897468963710964e-78,219
D1,346.18958810821937,4.169167601052247e-77,220
V62,342.1048316968079,3.204756784252829e-76,221
D2,332.5052592363089,3.869739434081081e-74,222
V83,320.5074977984559,1.5497870844496056e-71,223
V264,297.64799778976374,1.4156253930955954e-66,224
V109,268.64729676232935,2.8066415092666234e-60,225
V35,258.49747554046496,4.5001622350766245e-58,226
V115,256.79996690328454,1.0521297612111665e-57,227
D4,252.5883417723051,8.654887304059317e-57,228
V117,246.09766731212716,2.227947662787735e-55,229
D2_isna,238.57751890434187,9.607640738671115e-54,230
V36,229.37539267617387,9.626107524754688e-52,231
V61_isna,226.37608900204197,4.3223183356044964e-51,232
V60_isna,226.37608900204197,4.3223183356044964e-51,233
V56_isna,226.37608900204197,4.3223183356044964e-51,234
V57_isna,226.37608900204197,4.3223183356044964e-51,235
V58_isna,226.37608900204197,4.3223183356044964e-51,236
V59_isna,226.37608900204197,4.3223183356044964e-51,237
V62_isna,226.37608900204197,4.3223183356044964e-51,238
V63_isna,226.37608900204197,4.3223183356044964e-51,239
V64_isna,226.37608900204197,4.3223183356044964e-51,240
V65_isna,226.37608900204197,4.3223183356044964e-51,241
V66_isna,226.37608900204197,4.3223183356044964e-51,242
V67_isna,226.37608900204197,4.3223183356044964e-51,243
V68_isna,226.37608900204197,4.3223183356044964e-51,244
V69_isna,226.37608900204197,4.3223183356044964e-51,245
V70_isna,226.37608900204197,4.3223183356044964e-51,246
V71_isna,226.37608900204197,4.3223183356044964e-51,247
V72_isna,226.37608900204197,4.3223183356044964e-51,248
V73_isna,226.37608900204197,4.3223183356044964e-51,249
V74_isna,226.37608900204197,4.3223183356044964e-51,250
V53_isna,226.37608900204197,4.3223183356044964e-51,251
V54_isna,226.37608900204197,4.3223183356044964e-51,252
V55_isna,226.37608900204197,4.3223183356044964e-51,253
D11,226.00995495572928,5.19212382826039e-51,254
V119,197.49313272179788,8.323121398036002e-45,255
V56,183.80352103363774,7.966774522171636e-42,256
V61,180.7088657165818,3.761753172657059e-41,257
V82,178.0249482454449,1.4457677296977483e-40,258
V315,176.37019536003484,3.3161218672957252e-40,259
V289,158.1623167067517,3.086795790833636e-36,260
V118,149.1512205274365,2.8513092543193917e-34,261
V20,137.65617275012625,9.201212808219309e-32,262
V55,137.48544573829108,1.0025812266237996e-31,263
V313,128.4407342650012,9.4718041481128e-30,264
D5,120.78088473385394,4.469781134731321e-28,265
V12,115.16933081107342,7.53655075157432e-27,266
D3,113.83573267209316,1.475125692529455e-26,267
V290,111.3101467816715,5.263377379973865e-26,268
V288,109.8629997267405,1.0910966326960186e-25,269
V314,106.81081517626644,5.078577587379745e-25,270
V75,102.12765982305245,5.381399143048194e-24,271
D3_isna,99.09421391596858,2.4842048447203012e-23,272
D10_isna,97.40869253413629,5.81290514439124e-23,273
V19_isna,96.93251304935772,7.391129801065723e-23,274
V20_isna,96.93251304935772,7.391129801065723e-23,275
V17_isna,96.93251304935772,7.391129801065723e-23,276
V31_isna,96.93251304935772,7.391129801065723e-23,277
V33_isna,96.93251304935772,7.391129801065723e-23,278
V18_isna,96.93251304935772,7.391129801065723e-23,279
V21_isna,96.93251304935772,7.391129801065723e-23,280
V27_isna,96.93251304935772,7.391129801065723e-23,281
V28_isna,96.93251304935772,7.391129801065723e-23,282
V25_isna,96.93251304935772,7.391129801065723e-23,283
V30_isna,96.93251304935772,7.391129801065723e-23,284
V24_isna,96.93251304935772,7.391129801065723e-23,285
V23_isna,96.93251304935772,7.391129801065723e-23,286
V22_isna,96.93251304935772,7.391129801065723e-23,287
V14_isna,96.93251304935772,7.391129801065723e-23,288
V32_isna,96.93251304935772,7.391129801065723e-23,289
V15_isna,96.93251304935772,7.391129801065723e-23,290
V16_isna,96.93251304935772,7.391129801065723e-23,291
V29_isna,96.93251304935772,7.391129801065723e-23,292
V12_isna,96.93251304935772,7.391129801065723e-23,293
V13_isna,96.93251304935772,7.391129801065723e-23,294
V34_isna,96.93251304935772,7.391129801065723e-23,295
V26_isna,96.93251304935772,7.391129801065723e-23,296
V301,95.89388102202565,1.2481469144321035e-22,297
V66,93.55967312480547,4.0529417069315537e-22,298
V76,89.9329791948065,2.528087414589696e-21,299
V5,89.65587469226654,2.9077181424114453e-21,300
V13,86.15878677869665,1.70037842071838e-20,301
V284,85.8878065481004,1.949814223123285e-20,302
card5,85.85223744445436,1.9851647408426915e-20,303
V19,85.80701039511659,2.03104120496339e-20,304
D15_isna,85.02153161869586,3.0203128042477406e-20,305
V85_isna,84.6569148779867,3.631240508413195e-20,306
V79_isna,84.6569148779867,3.631240508413195e-20,307
V86_isna,84.6569148779867,3.631240508413195e-20,308
V92_isna,84.6569148779867,3.631240508413195e-20,309
V94_isna,84.6569148779867,3.631240508413195e-20,310
V89_isna,84.6569148779867,3.631240508413195e-20,311
V75_isna,84.6569148779867,3.631240508413195e-20,312
V82_isna,84.6569148779867,3.631240508413195e-20,313
V80_isna,84.6569148779867,3.631240508413195e-20,314
