method,feature_scope,rank,feature,score
ReliefF Weight,mixed encoded (numeric + ordinal categories),51,id_04,0.024331664998331667
ReliefF Weight,mixed encoded (numeric + ordinal categories),52,id_03,0.024233632436025294
ReliefF Weight,mixed encoded (numeric + ordinal categories),53,D11,0.02402615384615386
ReliefF Weight,mixed encoded (numeric + ordinal categories),54,id_16,0.024
ReliefF Weight,mixed encoded (numeric + ordinal categories),55,V289,0.023619047619047654
ReliefF Weight,mixed encoded (numeric + ordinal categories),56,id_31,0.023375
ReliefF Weight,mixed encoded (numeric + ordinal categories),57,D10,0.022580529385374703
ReliefF Weight,mixed encoded (numeric + ordinal categories),58,V282,0.021733333333333486
ReliefF Weight,mixed encoded (numeric + ordinal categories),59,V82,0.021555555555555595
ReliefF Weight,mixed encoded (numeric + ordinal categories),60,D4,0.020827725437415963
ReliefF Weight,mixed encoded (numeric + ordinal categories),61,V287,0.020296296296296288
ReliefF Weight,mixed encoded (numeric + ordinal categories),62,V10,0.018555555555555582
ReliefF Weight,mixed encoded (numeric + ordinal categories),63,V284,0.018000000000000068
ReliefF Weight,mixed encoded (numeric + ordinal categories),64,id_13,0.01716462841015996
ReliefF Weight,mixed encoded (numeric + ordinal categories),65,V19,0.01711111111111114
ReliefF Weight,mixed encoded (numeric + ordinal categories),66,V11,0.016666666666666687
ReliefF Weight,mixed encoded (numeric + ordinal categories),67,V100,0.01511111111111117
ReliefF Weight,mixed encoded (numeric + ordinal categories),68,TransactionAmt,0.014702612302048348
ReliefF Weight,mixed encoded (numeric + ordinal categories),69,V283,0.013276190476190554
ReliefF Weight,mixed encoded (numeric + ordinal categories),70,V310,0.01308172508222751
ReliefF Weight,mixed encoded (numeric + ordinal categories),71,addr1,0.013066820276497703
ReliefF Weight,mixed encoded (numeric + ordinal categories),72,V6,0.012666666666666666
ReliefF Weight,mixed encoded (numeric + ordinal categories),73,dist2,0.012202377414561658
ReliefF Weight,mixed encoded (numeric + ordinal categories),74,V285,0.012092896174863406
ReliefF Weight,mixed encoded (numeric + ordinal categories),75,V62,0.011777777777777786
ReliefF Weight,mixed encoded (numeric + ordinal categories),76,V312,0.011435339486789925
ReliefF Weight,mixed encoded (numeric + ordinal categories),77,V20,0.011166666666666667
ReliefF Weight,mixed encoded (numeric + ordinal categories),78,D3,0.010833602584814195
ReliefF Weight,mixed encoded (numeric + ordinal categories),79,C9,0.010232774674115467
ReliefF Weight,mixed encoded (numeric + ordinal categories),80,V67,0.010222222222222207
ReliefF Weight,mixed encoded (numeric + ordinal categories),81,R_emaildomain,0.010027777777777785
ReliefF Weight,mixed encoded (numeric + ordinal categories),82,id_33,0.00994999999999999
ReliefF Weight,mixed encoded (numeric + ordinal categories),83,D9,0.009668097285389862
ReliefF Weight,mixed encoded (numeric + ordinal categories),84,id_10,0.009668001334668
ReliefF Weight,mixed encoded (numeric + ordinal categories),85,V7,0.009666666666666653
ReliefF Weight,mixed encoded (numeric + ordinal categories),86,id_09,0.009631806108897743
ReliefF Weight,mixed encoded (numeric + ordinal categories),87,V99,0.009568306010928933
ReliefF Weight,mixed encoded (numeric + ordinal categories),88,V131,0.009481077003067264
ReliefF Weight,mixed encoded (numeric + ordinal categories),89,C5,0.009476190476190511
ReliefF Weight,mixed encoded (numeric + ordinal categories),90,V281,0.0088888888888889
ReliefF Weight,mixed encoded (numeric + ordinal categories),91,V25,0.008833333333333334
ReliefF Weight,mixed encoded (numeric + ordinal categories),92,V83,0.008714285714285699
ReliefF Weight,mixed encoded (numeric + ordinal categories),93,ProductCD,0.008583333333333333
ReliefF Weight,mixed encoded (numeric + ordinal categories),94,id_28,0.008333333333333333
ReliefF Weight,mixed encoded (numeric + ordinal categories),95,V26,0.008111111111111105
ReliefF Weight,mixed encoded (numeric + ordinal categories),96,id_29,0.008
ReliefF Weight,mixed encoded (numeric + ordinal categories),97,V130,0.007783460670586514
ReliefF Weight,mixed encoded (numeric + ordinal categories),98,id_36,0.007666666666666666
ReliefF Weight,mixed encoded (numeric + ordinal categories),99,V314,0.007274857570979022
ReliefF Weight,mixed encoded (numeric + ordinal categories),100,addr1_isna,0.007
Mutual Information,"numeric + one-hot categorical, max MI per original feature",1,V201,0.03236653143434243
Mutual Information,"numeric + one-hot categorical, max MI per original feature",2,V258,0.03145810594721743
Mutual Information,"numeric + one-hot categorical, max MI per original feature",3,V257,0.03076027954940863
Mutual Information,"numeric + one-hot categorical, max MI per original feature",4,V200,0.030744912720765072
Mutual Information,"numeric + one-hot categorical, max MI per original feature",5,V187,0.029913341037030916
Mutual Information,"numeric + one-hot categorical, max MI per original feature",6,V199,0.02990656042364126
Mutual Information,"numeric + one-hot categorical, max MI per original feature",7,V246,0.029800118655498586
Mutual Information,"numeric + one-hot categorical, max MI per original feature",8,V243,0.02947594439635859
Mutual Information,"numeric + one-hot categorical, max MI per original feature",9,V189,0.028831891261829723
Mutual Information,"numeric + one-hot categorical, max MI per original feature",10,V186,0.028600416582840182
Mutual Information,"numeric + one-hot categorical, max MI per original feature",11,V188,0.028440657782972778
Mutual Information,"numeric + one-hot categorical, max MI per original feature",12,V190,0.027803743291160865
Mutual Information,"numeric + one-hot categorical, max MI per original feature",13,V242,0.0275511439538747
