"","PLT","LAT","LON","YEAR","IndividualNumber","treeDensity","diameterMean","SpeciesNumber","ShannonIndex","SimpsonIndex","InvSimpsonIndex","BasalArea","WeightedWoodDensity","WoodDensitySD","MinWD","MaxWD","GymnoWD","AngioWD","FiveQuantile","NintyfiveQuantile","angiospermRatio","gymnospermRatio","nonDefinedAG","dataset","genus","species","Lambda","LambdaP_Val","BlombergsK","BlombergsP_Val","PhyloSpeciesNm"
"3128","PLT_00003128",-27.6334,-51.1628,2009,63,630,19.4320606707936,16,2.27561152746278,0.847064751826657,6.53871499176277,20912.1637475204,0.696860732211475,0.206362616395547,0.403543225933333,0.98,NA,0.696625534315326,0.41178890334,0.98,1,0,0,0,0.0952380952380952,0.904761904761905,6.92878466299398e-05,1,0.951591877361991,0.750000000000001,5
"3129","PLT_00003129",-27.6334,-51.1628,2009,80,800,18.195388868875,25,2.75067197807454,0.9090625,10.9965635738832,24543.3633520123,0.53426402473289,0.0953115080334669,0.336619571351852,0.98,NA,0.541582194344488,0.403543225933333,0.716670947815,1,0,0,0,0.075,0.925,6.75130110215474e-05,1,0.600532124677204,0.071,13
"3130","PLT_00003130",-27.6334,-51.1628,2009,52,520,18.3089397992308,17,2.46224051099669,0.888313609467456,8.95364238410596,15834.5640199477,0.611356513455281,0.137760909270547,0.377626735833333,0.98,NA,0.648919089275119,0.45662603244766,0.98,1,0,0,0,0.153846153846154,0.846153846153846,6.89440298908115e-05,1,0.0928761312678364,0.938000000000001,7
"3131","PLT_00003131",-27.6334,-51.1628,2009,100,1000,19.027928376,25,2.5999209406371,0.8928,9.32835820895522,32179.2546470124,0.611749747190141,0.159927578169381,0.336619571351852,0.98,NA,0.613505196075346,0.486,0.98,1,0,0,0.0099009900990099,0.0693069306930693,0.920792079207921,6.75130110221704e-05,1,0.212383882919606,0.723000000000001,11
"3132","PLT_00003132",-27.63,-49.2336,2009,71,710,15.4313046226761,19,2.3495238480042,0.841102955762746,6.29338327091136,15288.2646776656,0.483080068995834,0.0660894705217458,0.4242536617,0.6729136778,NA,0.475250429688262,0.443829116846154,0.606494252470588,1,0,0,0.0273972602739726,0.178082191780822,0.794520547945205,0.540678630598147,0.441419550519114,0.455353345050771,0.334,7
"3133","PLT_00003133",-27.63,-49.2336,2009,18,180,23.8732414638889,14,2.58230634431397,0.919753086419753,12.4615384615385,9334.43741240534,0.494294752159917,0.104385691141383,0.35758695330303,0.6741653692,NA,0.44913595201058,0.35758695330303,0.67310143151,1,0,0,0.0526315789473684,0.263157894736842,0.684210526315789,0.303596863940526,0.658740721948672,0.227418160036592,0.601,5
"3134","PLT_00003134",-27.63,-49.2336,2009,52,520,26.8788213501923,22,2.71927611937235,0.894970414201183,9.52112676056338,39481.646309357,0.601872934180067,0.0892255645848263,0.35758695330303,0.85,NA,0.546238050686874,0.477685516989796,0.74402883094332,1,0,0,0.161290322580645,0.483870967741935,0.354838709677419,6.46678404199754e-05,1,0.958868420765735,0.423,7
"3135","PLT_00003135",-27.63,-49.2336,2009,53,530,16.750307029434,14,2.20429913222392,0.858668565325739,7.07556675062972,13384.5328265143,0.4802340695477,0.0923893411860554,0.307960521194805,0.6729136778,NA,0.44162333590913,0.4242536617,0.633111650377049,1,0,0,0.0185185185185185,0.222222222222222,0.759259259259259,0.790274193156733,0.437019079187311,0.734173602851719,0.25,9
"3136","PLT_00003136",-27.63,-49.59,2009,40,400,16.52824083975,13,2.27687031243915,0.87125,7.76699029126214,9585.9817998236,0.450693855728792,0.103759477210897,0.307960521194805,0.70735,NA,0.446466092218183,0.307960521194805,0.6729136778,1,0,0,0.130434782608696,0.195652173913043,0.673913043478261,0.872798291413612,0.122945020494063,0.948070084513237,0.137,6
"3137","PLT_00003137",-27.63,-49.59,2009,41,410,19.2150480065854,14,2.28495357299578,0.860202260559191,7.1531914893617,13080.5468843849,0.503109335920611,0.0760788858985025,0.35758695330303,0.74095,NA,0.501878347114517,0.35758695330303,0.606109475166667,1,0,0,0.0681818181818182,0.431818181818182,0.5,4.33230480648678e-05,1,0.4100025612879,0.975000000000001,10
"3138","PLT_00003138",-27.63,-49.59,2009,44,440,13.4485926909091,16,2.41949010806497,0.886363636363636,8.8,6603.57732104762,0.542134601593636,0.0988578999346472,0.327603620505447,0.91,NA,0.530030947384802,0.485061622309859,0.689966747556557,1,0,0,0,0.545454545454545,0.454545454545455,4.2954994714851e-05,1,0.983404510308669,0.503,6
"3139","PLT_00003139",-27.63,-49.59,2009,96,960,13.4253825955208,21,2.56153289906128,0.894097222222222,9.44262295081967,14630.7160317598,0.554762287892449,0.151845955072648,0.327603620505447,0.91,NA,0.545285575218553,0.327603620505447,0.91,1,0,0,0.0679611650485437,0.495145631067961,0.436893203883495,4.1109004500286e-05,1,0.201831311016807,0.718000000000001,7
"3140","PLT_00003140",-27.63,-49.5,2009,50,500,14.8268744986,19,2.40922962329922,0.8616,7.22543352601156,9362.52825977462,0.555582784779819,0.114609112867112,0.477685516989796,0.824221329833333,NA,0.512197389961176,0.477685516989796,0.800726315789474,1,0,0,0,0.54,0.46,6.87098267731547e-05,1,0.463033526399378,0.301,9
"3141","PLT_00003141",-27.63,-49.5,2009,74,740,16.5090992317568,26,2.66540998494463,0.879839298758218,8.32218844984802,17216.54617993,0.490590541375483,0.123552178386622,0.327603620505447,0.91,NA,0.477348694600441,0.327603620505447,0.764,1,0,0,0,0.405405405405405,0.594594594594595,6.91461723942879e-05,1,0.172716220201381,0.700000000000001,12
"3142","PLT_00003142",-27.63,-49.5,2009,44,440,14.8448156009091,23,2.95667705370316,0.93801652892562,16.1333333333333,9031.2472455654,0.644344158558675,0.143525792492993,0.327603620505447,0.98,0.488,0.6382962813396,0.478932689441327,0.9695,0.923076923076923,0.0769230769230769,0,0.0222222222222222,0.355555555555556,0.622222222222222,6.71709140282474e-05,1,0.223487875774298,0.495,12
"3143","PLT_00003143",-27.63,-49.5,2009,90,900,14.9198917203333,18,2.568011352275,0.904691358024691,10.4922279792746,17739.8675264685,0.53976368799872,0.124320572167304,0.327603620505447,0.91,NA,0.522793553635773,0.395140473923404,0.76,1,0,0,0.010989010989011,0.351648351648352,0.637362637362637,6.26191510952674e-05,1,0.940817995240561,0.711000000000001,8
"3144","PLT_00003144",-27.63,-50.94,2009,69,690,16.5152085866667,14,2.43195049163715,0.900231043898341,10.0231578947368,18720.281870327,0.56890481146801,0.108834754478711,0.403543225933333,0.8232,NA,0.562189303188664,0.403543225933333,0.7903,1,0,0,0,0.217391304347826,0.782608695652174,2.38910185391169,0.0705551581230332,1.00694135109416,0.4,6
"3145","PLT_00003145",-27.63,-50.94,2009,74,740,18.0447293585135,22,2.61071192229333,0.891891891891892,9.25,22060.5462392858,0.605731327347898,0.12017792711122,0.35758695330303,0.98,NA,0.602763411533547,0.403543225933333,0.8232,1,0,0,0.038961038961039,0.337662337662338,0.623376623376623,6.69029784993327e-05,1,0.366723920861538,0.292,11
"3146","PLT_00003146",-27.63,-50.94,2009,69,690,15.297327283913,17,2.06203006985301,0.783028775467339,4.60890609874153,14760.5068874083,0.581524348097937,0.119576996170868,0.403543225933333,0.8232,NA,0.57757719032282,0.403543225933333,0.7903,1,0,0,0.0142857142857143,0.0857142857142857,0.9,6.05022081057637e-05,1,0.522301909871173,0.901000000000001,6
"3147","PLT_00003147",-27.63,-50.94,2009,26,260,17.2254619180769,4,1.04340337804618,0.600591715976331,2.5037037037037,6879.07452807555,0.545143708478975,0.0901501833938075,0.403543225933333,0.591483636363636,NA,0.545143708478975,0.403543225933333,0.591483636363636,1,0,0,0,0,1,NA,NA,NA,NA,3
"3148","PLT_00003148",-27.675,-51.3026,2009,93,930,16.0558244736559,14,1.95820099051012,0.790380390796624,4.77054605626034,20493.0292042879,0.461594493851491,0.066851822330045,0.35758695330303,0.784635989142857,NA,0.457471814077492,0.4242536617,0.59901540227027,1,0,0,0,0.0860215053763441,0.913978494623656,0.328616464495858,0.298068862509607,0.105239216275534,0.483,9
"3149","PLT_00003149",-27.675,-51.3026,2009,95,950,14.1530627285263,20,2.4837003727457,0.883767313019391,8.60343183984747,15829.0731743294,0.510042256471264,0.116905966170286,0.35758695330303,0.98,NA,0.498669890482226,0.4242536617,0.743658770243243,1,0,0,0.0306122448979592,0.0714285714285714,0.897959183673469,0.16580448106154,0.74217316345341,0.318691044355777,0.0750000000000001,12
"3150","PLT_00003150",-27.675,-51.3026,2009,99,990,15.9572925767677,15,2.35609341073471,0.882767064585246,8.53002610966057,21740.6448031456,0.495165276458506,0.128874247172343,0.35758695330303,0.98,NA,0.491963871179802,0.4242536617,0.784635989142857,1,0,0,0,0.0707070707070707,0.929292929292929,0.169363772272929,0.627549837503121,0.135650628774413,0.718000000000001,9
"3151","PLT_00003151",-27.675,-51.3026,2009,35,350,17.3706252168571,10,2.04269216911297,0.839183673469388,6.21827411167513,9672.95997552388,0.517100131072366,0.108529204406801,0.35758695330303,0.784635989142857,NA,0.515907752374623,0.404253649180909,0.754055796742857,1,0,0,0.0789473684210526,0,0.921052631578947,6.80431753233037e-05,1,0.13053706084801,0.506,7
"3152","PLT_00003152",-27.6909,-51.1367,2009,49,490,22.8403583638776,19,2.69444103795085,0.918783840066639,12.3128205128205,25103.0317095846,0.5374134854141,0.080111105279671,0.377626735833333,0.7158509977,NA,0.540306885653213,0.404107688238461,0.6741653692,1,0,0,0.0392156862745098,0.0588235294117647,0.901960784313726,7.23827764469684e-05,1,0.838266499072445,0.109,11
"3153","PLT_00003153",-27.6909,-51.1367,2009,68,680,22.2629679211765,23,2.72703036739452,0.905276816608997,10.5570776255708,32207.8675216093,0.550731050496253,0.088558548441614,0.435666846153846,0.98,NA,0.554213996470399,0.486,0.701261027725,1,0,0,0,0.25,0.75,7.23827764462558e-05,1,0.924857800021065,0.06,12
"3154","PLT_00003154",-27.6909,-51.1367,2009,62,620,23.5446635166129,22,2.8884805129142,0.934443288241415,15.2539682539683,34922.0959226701,0.568812599518299,0.0859694772736974,0.377626735833333,0.74095,NA,0.572719841122831,0.486,0.7386060155,1,0,0,0,0.225806451612903,0.774193548387097,4.66947158037515e-05,1,0.499825625552662,0.955000000000001,10
"3155","PLT_00003155",-27.6909,-51.1367,2009,78,780,19.8658016144872,21,2.78408475697602,0.928007889546351,13.8904109589041,29400.8517922961,0.554567996273867,0.0946132579316108,0.377626735833333,0.74095,NA,0.55406658823379,0.486,0.73968578412987,1,0,0,0,0.256410256410256,0.743589743589744,4.66947158037515e-05,1,0.499825625552662,0.959000000000001,10
"3156","PLT_00003156",-27.7169,-51.1171,2008,77,770,21.0456575394805,20,2.59381220079221,0.902344408837915,10.2400690846287,31061.3948910818,0.530053753716016,0.0926531917957267,0.377626735833333,0.8232,NA,0.535788405671144,0.403543225933333,0.71631453842,1,0,0,0,0.051948051948052,0.948051948051948,6.69029784999914e-05,1,0.470843202416519,0.288,10
"3157","PLT_00003157",-27.7169,-51.1171,2008,66,660,25.2140012874242,19,2.54387768278015,0.884297520661157,8.64285714285714,39098.9582504664,0.596746464258628,0.11414598310412,0.336619571351852,0.98,NA,0.599830369666537,0.489514354898936,0.8232,1,0,0,0,0.121212121212121,0.878787878787879,6.03307229398696e-05,1,0.601283669873093,0.609,8
"3158","PLT_00003158",-27.7169,-51.1171,2008,64,640,20.2922552434375,16,2.21827899317028,0.8291015625,5.85142857142857,25107.1697356742,0.585147872159947,0.0783767085797805,0.486,0.824221329833333,NA,0.596233581378406,0.501672321681383,0.737185149655,1,0,0,0,0.09375,0.90625,6.19936913052456e-05,1,0.600036489878227,0.832000000000001,8
"3159","PLT_00003159",-27.7169,-51.1171,2008,34,340,25.97034189,17,2.69010801178275,0.923875432525952,13.1363636363636,20966.9130476218,0.533634530670906,0.0930203502356223,0.377626735833333,0.8232,NA,0.553983797015705,0.377626735833333,0.689566535435,1,0,0,0,0.235294117647059,0.764705882352941,4.48395811287909e-05,1,0.769573521272553,0.273,7
"3160","PLT_00003160",-27.7175,-48.5276,2010,78,780,18.8129304528205,29,2.86590613510082,0.914858645627876,11.7451737451737,29271.140514116,0.488947226659159,0.140725189427571,0.340715665666667,0.92,NA,0.482173482175542,0.35758695330303,0.743658770243243,1,0,0,0.025,0.2625,0.7125,6.91560622123535e-05,1,0.938596942981448,0.343,13
"3161","PLT_00003161",-27.7175,-48.5276,2010,95,950,17.2490452006316,26,2.83265552918683,0.919667590027701,12.448275862069,26853.7360825338,0.545997805364195,0.136706996204962,0.339048462903226,0.86,NA,0.502234429531648,0.340715665666667,0.733285,1,0,0,0,0.105263157894737,0.894736842105263,7.97610350457043e-05,1,0.891599601540478,0.226,14
"3162","PLT_00003162",-27.7175,-48.5276,2010,52,520,20.7574773859615,25,3.00977402149324,0.940828402366864,16.9,22035.3997592194,0.538210878070998,0.140510809338012,0.327603620505447,0.86,NA,0.551562760571008,0.340715665666667,0.735596102858441,1,0,0,0.037037037037037,0.0555555555555556,0.907407407407407,6.4667840422456e-05,1,0.781606823565364,0.682,14
"3163","PLT_00003163",-27.7175,-48.5276,2010,73,730,21.6755951265753,22,2.64388362082462,0.898855319947457,9.88682745825603,36541.4178919617,0.502953393204253,0.109424362146982,0.340715665666667,0.774101909034483,NA,0.533399829389436,0.340715665666667,0.69039955244,1,0,0,0,0.123287671232877,0.876712328767123,5.8958235871477e-05,1,0.671525347449418,0.812000000000001,14
"3164","PLT_00003164",-27.7175,-51.0287,2008,22,220,11.4012813772727,7,1.65718007916892,0.764462809917355,4.24561403508772,2266.04807951259,0.753543503147423,0.211798920770271,0.4242536617,0.98,NA,0.766586562544173,0.425540978615,0.98,1,0,0,0,0.318181818181818,0.681818181818182,NA,NA,NA,NA,1
"3165","PLT_00003165",-27.7175,-51.0287,2008,7,70,11.82293863,3,0.955699891112534,0.571428571428571,2.33333333333333,781.609925550702,0.54139098324254,0.0656615664505401,0.443829116846154,0.606494252470588,NA,0.443829116846154,0.443829116846154,0.594745976729411,1,0,0,0,0.571428571428571,0.428571428571429,NA,NA,NA,NA,1
"3166","PLT_00003166",-27.7175,-51.0287,2008,16,160,11.8769376275,8,1.84074872856928,0.796875,4.92307692307692,1801.23606826747,0.54122286468339,0.143473980430824,0.4242536617,0.98,NA,0.530407302181468,0.438935253059615,0.7544,1,0,0,0,0.25,0.75,NA,NA,NA,NA,3
"3167","PLT_00003167",-27.7175,-51.0287,2008,4,40,11.061268545,4,1.38629436111989,0.75,4,385.552849644884,0.724745536167759,0.208151280488649,0.504062191931035,0.98,NA,0.771318035426853,0.519427001011968,0.949115286355172,1,0,0,0,0,1,NA,NA,NA,NA,2
"3168","PLT_00003168",-27.7178,-48.6924,2010,101,1010,15.8083404858416,34,3.00670029530743,0.925987648269778,13.5112582781457,21696.4793063486,0.62124329771869,0.11119311268502,0.327603620505447,0.92,NA,0.617234450008108,0.465708450617021,0.73968578412987,1,0,0,0.0194174757281553,0.533980582524272,0.446601941747573,6.95722636460291e-05,1,0.363020957335985,0.727000000000001,15
"3169","PLT_00003169",-27.7178,-48.6924,2010,96,960,15.8359168377083,27,2.52668533943736,0.856336805555556,6.9607250755287,20746.4834518841,0.609729213490023,0.0699954523785336,0.466960794,0.92,NA,0.582859444380647,0.486,0.73968578412987,1,0,0,0,0.1875,0.8125,0.758948844410718,0.218692652814688,0.617359451536055,0.209,15
"3170","PLT_00003170",-27.7178,-48.6924,2010,105,1050,13.3811413104762,19,2.25162356390121,0.837006802721088,6.13522537562604,15221.8970667899,0.617669563956128,0.0863717558004191,0.466960794,0.92,NA,0.623015402369838,0.510500923826087,0.876731754048648,1,0,0,0.00943396226415094,0.216981132075472,0.773584905660377,6.36325144427377e-05,1,0.979334385022744,0.404,10
"3171","PLT_00003171",-27.7178,-48.6924,2010,66,660,16.7209147786364,21,2.79397293121618,0.92653810835629,13.6125,16045.6034750478,0.589215791855343,0.122824325531346,0.327603620505447,0.87,NA,0.525858360712458,0.327603620505447,0.74095,1,0,0,0,0.272727272727273,0.727272727272727,7.13066612194669e-05,1,0.904960788229437,0.731000000000001,11
"3172","PLT_00003172",-27.7188,-48.8715,2010,59,590,15.6727155822034,24,2.80204765225185,0.911232404481471,11.2653721682848,12434.218661196,0.614453880813109,0.11266345583234,0.407038211210345,0.92,NA,0.586185719301026,0.486,0.809584323939999,1,0,0,0.0166666666666667,0.283333333333333,0.7,6.95722636460291e-05,1,0.271386457592213,0.807000000000001,12
"3173","PLT_00003173",-27.7188,-48.8715,2010,68,680,18.5462318980882,23,2.79190617066769,0.921712802768166,12.7734806629834,20087.2636779207,0.617859715129912,0.128672185001043,0.340715665666667,0.92,NA,0.606432609941709,0.486,0.92,1,0,0,0.0144927536231884,0.130434782608696,0.855072463768116,5.78682266028164e-05,1,0.946525636260935,0.294,14
"3174","PLT_00003174",-27.7188,-48.8715,2010,122,1220,13.6925433011475,22,2.41075428328967,0.847487234614351,6.5568281938326,19268.8889613792,0.601555042051002,0.105792510449528,0.37,0.92,NA,0.558339572509534,0.486,0.7984270266,1,0,0,0,0.19672131147541,0.80327868852459,4.29549947128817e-05,1,0.931007687031881,0.698000000000001,8
