gene,log2FC,FDR,direction
SLC52A3,-1.0042217682885841,1.2205905511570855e-09,down
ALDOC,-1.0051601815930233,5.049669685509835e-06,down
LGALS2,-1.0053546675824512,0.00013772437735109678,down
SUGCT,-1.0120246142811826,1.2585204617660447e-10,down
ZNF511-PRAP1,-1.0121725387817104,0.00020562050591707635,down
PRAP1,-1.0121725387817104,0.00020562050591707635,down
RHOU,-1.0273537196078202,5.788778487865697e-09,down
DPP4,-1.028759026071354,0.005431295613450464,down
CYP2S1,-1.0311294553715609,3.7467730563536654e-06,down
SEMA5A,-1.0311657369360478,3.058686479315908e-11,down
GSTA2,-1.0316930569978817,0.019730752119979638,down
ENPP1,-1.0433125961902707,4.049663540643619e-09,down
ACOX1,-1.0447747250544381,3.820935080501739e-08,down
LOC100509620,-1.0452988075158567,1.1760092401477994e-08,down
LOC102724507,-1.0452988075158567,1.1760092401477994e-08,down
AQP7P1,-1.0452988075158567,1.1760092401477994e-08,down
MYO1A,-1.0488790714841478,0.0010448411231467063,down
SLC9A3,-1.0528199271220906,0.0001598469822351341,down
RMDN2,-1.053809451573466,5.0013318157320235e-09,down
ALPI,-1.0555179111892166,0.00723460251377117,down
PTPRR,-1.0579514510919692,5.370594445126101e-08,down
ADIRF,-1.060650614941859,4.579200039061457e-05,down
SLC9A2,-1.063115843509511,0.0005498456253486063,down
HEPACAM2,-1.0641295868631087,0.00394294649187674,down
CYP4F12,-1.067935338717235,1.0356408936783659e-05,down
SGK2,-1.0688850652135322,2.327349738366822e-08,down
EFNA1,-1.0753492933002136,1.6602535140467352e-11,down
MIER3,-1.0758486657870012,2.6629482840386303e-11,down
HRASLS2,-1.0774187312928198,0.0004507674501612019,down
CNGA1,-1.077699901050737,3.340932561371202e-09,down
ENPP3,-1.0777028719075048,0.0012836790477271543,down
PDZD3,-1.0777463864302348,2.7882672556686296e-06,down
MT1JP,-1.0786531167891154,2.6383044150408433e-13,down
TRPV3,-1.0787142280459845,1.7101715801103882e-11,down
HSD3BP4,-1.0806748985946095,1.4327391449747338e-07,down
TDP2,-1.0839493481131068,4.74766814168839e-10,down
BTNL3,-1.088597507378429,0.0001392839820344971,down
BTNL8,-1.088597507378429,0.0001392839820344971,down
MATN2,-1.094787879929699,4.896041832899063e-08,down
ETFDH,-1.0992225980253707,1.3305313621754945e-09,down
A1CF,-1.1000654832352001,1.0371401049698311e-05,down
CHN2,-1.1078814227790748,1.5951584722997367e-05,down
SLC5A9,-1.1083516314318143,0.014774554148607698,down
MT1A,-1.1093637388128883,4.155470663294545e-12,down
CYP2J2,-1.1108088689904836,4.434994573983851e-05,down
EPHX2,-1.1125494575137385,5.856721138703833e-05,down
METTL7B,-1.1167580023287567,6.097645804440504e-06,down
CHAD,-1.1196065496273748,5.258502165191889e-10,down
HNF4G,-1.1279355201210386,0.0018862464679896154,down
VIPR1,-1.1322992405031673,3.6006223586644267e-07,down
MOGAT2,-1.1348699272240985,0.0006924243474983845,down
TMEM37,-1.140197733596727,3.84065422430422e-06,down
INPP5J,-1.141634974550212,1.5654990347823e-07,down
GABRA2,-1.1417420159815048,2.0287513157439903e-08,down
GCNT4,-1.1439359281765293,0.017790235593922902,down
OTC,-1.1483395744149076,0.03166943843445327,down
ADH6,-1.1502185134582463,5.4128888934867584e-05,down
HSD3B2,-1.1519621170385816,0.0006816595183481033,down
USP2,-1.1538298981538064,4.7757965126608134e-08,down
AQP11,-1.157534156088265,8.376362247615961e-06,down
PTGR1,-1.1594766489260078,0.00013646507862698565,down
ABCC2,-1.161630050132132,0.016612086630481922,down
SLC5A11,-1.1626827266316022,8.670353487347272e-05,down
MAOA,-1.1677762227558155,2.612438543738462e-06,down
CDKN2B,-1.168640927250003,1.2774059712234916e-09,down
FRMD1,-1.1738427233181827,1.86074072259507e-18,down
BEST4,-1.1742762970364744,2.8122014319487486e-05,down
SLC35G1,-1.1785955034455622,9.074283145703325e-06,down
PRLR,-1.1785963428398514,6.614318432584734e-06,down
PIGZ,-1.1806598325385824,9.317412462034224e-06,down
MT1X,-1.1830657941305471,6.502481462290026e-11,down
TREH,-1.184538378567657,0.005118735031019978,down
CNTN4,-1.1877823061913304,4.844552095801589e-19,down
SLC7A9,-1.1908300509471514,0.04036595189381375,down
AGMO,-1.1941619736871072,0.013276683559516582,down
UGT1A10,-1.1984489072732547,1.6836474699123652e-06,down
UGT1A1,-1.1984489072732547,1.6836474699123652e-06,down
UGT1A9,-1.1984489072732547,1.6836474699123652e-06,down
UGT1A7,-1.1984489072732547,1.6836474699123652e-06,down
UGT1A8,-1.1984489072732547,1.6836474699123652e-06,down
UGT1A5,-1.1984489072732547,1.6836474699123652e-06,down
UGT1A6,-1.1984489072732547,1.6836474699123652e-06,down
UGT1A4,-1.1984489072732547,1.6836474699123652e-06,down
UGT1A3,-1.1984489072732547,1.6836474699123652e-06,down
APOC3,-1.1986753539370998,0.028799028052905046,down
SUSD2,-1.2013371259392152,0.003086675993526953,down
ADH1C,-1.2015263580940836,0.0012578195465151743,down
C10orf99,-1.2166902751680766,0.017176336334783146,down
FABP2,-1.2167246056812928,0.008654593467446991,down
RNF152,-1.222041955979389,3.908055018979571e-11,down
MIR194-1,-1.222277340029069,0.002741027011053215,down
GDPD2,-1.225545588160677,1.0039535140864552e-07,down
HOXA6,-1.2310728674312896,2.044369495189389e-11,down
FAM151A,-1.2357570886125764,5.326344974201661e-07,down
MAOB,-1.2422157111553904,0.0021440144128354443,down
APOBEC3B,-1.2465221489793858,7.600528442137998e-09,down
RUNDC3B,-1.2467615633905957,3.5384255932776046e-11,down
SLC1A1,-1.2554791574735713,1.6344370749940844e-05,down
AKR1B10,-1.2579882212457765,0.00016507477305186162,down
TMEM63C,-1.2605227373525345,3.720749060523758e-13,down
SLC36A1,-1.26068499202378,2.2334119045864655e-07,down
HNF1A-AS1,-1.2638508720708224,1.0465970565831862e-06,down
FMO4,-1.2650324081368964,2.6836842743648572e-08,down
CNKSR3,-1.265501643390591,8.698934000437255e-13,down
TM6SF2,-1.2706912396992607,0.0078071136078250525,down
STBD1,-1.271279013922304,1.7154163580993794e-19,down
FAM47E-STBD1,-1.271279013922304,1.7154163580993794e-19,down
PFN2,-1.2718457225031754,2.0539603734837627e-11,down
ASPA,-1.2769358000607838,0.0002033010980301533,down
PPARGC1A,-1.2787127597182852,2.7316321567589344e-08,down
PLA2G12B,-1.2837955071601455,0.00028896894623981173,down
NAAA,-1.2885922612959817,4.306227357334947e-13,down
SLC39A5,-1.2897625210861552,3.0248982346799082e-05,down
SLC26A3,-1.2909288977230418,0.0014502907707456111,down
PDK2,-1.2989930140084578,2.52160390860126e-10,down
LEAP2,-1.312983668893759,0.0005379754048366916,down
MGC32805,-1.318927014782239,4.798802052511705e-09,down
SLC16A9,-1.3236131725528537,9.168799064500474e-05,down
TINAG,-1.3247176282938735,1.6222577948485293e-09,down
FMO5,-1.3264830287938683,7.931051899546128e-07,down
SLC10A5,-1.336615504575061,1.8038217339051377e-07,down
FLVCR1,-1.346817285257928,2.2323946556353026e-05,down
SULT2A1,-1.348683336737845,0.0035274835864623354,down
APOA1,-1.354296737991013,0.006715260832527955,down
DPEP1,-1.3581104964059154,0.02704917894575662,down
SLC19A3,-1.364644225559199,1.1551130305742184e-11,down
TUBAL3,-1.3721879526797052,8.963963184921453e-08,down
FMO1,-1.3843398088736816,0.0004271577372180446,down
LRRC19,-1.384958491491016,7.718193507020929e-07,down
SLC3A1,-1.385177475249467,4.1188113648713595e-05,down
SLC13A2,-1.3862924301331976,0.0018430880095789066,down
BRINP3,-1.393374316761105,0.0003728313514600213,down
PBLD,-1.3985638240782254,8.950367867271163e-05,down
ENTPD5,-1.4003377844228382,5.738169402002187e-09,down
PLB1,-1.4060839911273781,0.001828007020745927,down
HSD17B2,-1.4276982771125848,1.0040482279014366e-09,down
MIR215,-1.4310569995216706,0.0019994072302402842,down
CDC14A,-1.4339196095269564,1.7841871041785724e-12,down
MT1G,-1.4495584420459835,2.995102843844421e-10,down
ZG16,-1.4555301777949232,0.00024135588554785099,down
TMEM56-RWDD3,-1.465153692233617,1.950883526282086e-13,down
TMEM56,-1.465153692233617,1.950883526282086e-13,down
ANPEP,-1.4750491867552906,0.0013653971840332448,down
TRHDE,-1.4802852327579261,1.0040482279014366e-09,down
SCIN,-1.4803072937764261,6.633514341906509e-07,down
NR1H4,-1.483264833178647,0.0014371398166049317,down
CAPN13,-1.4917901720031717,8.270127543233887e-06,down
GSTA1,-1.509062107769032,0.008867765042871593,down
MT1F,-1.5194601645533776,3.153192562086227e-10,down
MS4A8,-1.5213016441490446,0.0009371342122054796,down
DHRS11,-1.5215195976691316,2.6205352894048484e-06,down
TMEM236,-1.5305403156062365,2.9416208301430105e-05,down
SLC38A4,-1.5308817473403797,1.670337862628904e-17,down
SLC22A5,-1.5398676273213585,2.999879252092754e-11,down
MEP1A,-1.5705963902209366,4.620426271258815e-05,down
HSD3B1,-1.5712058481104627,4.775877056761732e-09,down
SLC23A3,-1.578362508512157,3.558661749987638e-08,down
SLC23A1,-1.593302031107287,0.00024168545228182142,down
SLC51B,-1.612415393826641,7.687816081258744e-09,down
PDZK1,-1.6297510728456643,0.0007799061495096366,down
PDZK1P1,-1.6297510728456643,0.0007799061495096366,down
NTS,-1.6310650157933395,0.013078728359579309,down
SLC30A10,-1.6363743310861532,1.374478780175274e-07,down
NAT8B,-1.6689022077690279,7.87727624841179e-06,down
SLC6A4,-1.6875639192003202,0.0029622931817893253,down
ACSF2,-1.6885835302034868,3.2175030502213267e-11,down
SLC51A,-1.6994227082299158,6.8498241919308894e-06,down
PHLPP2,-1.707118270081395,1.6382901369624688e-10,down
GBA3,-1.7228855701437604,0.0034153599469661324,down
CHP2,-1.7246007786157485,1.2234302993265082e-06,down
CPO,-1.7335802426522218,0.0020967819944765135,down
