gene,log2FC,FDR,AveExpr
HSD3BP4,-1.0806748985946095,1.4327391449747338e-07,6.473644290283505
TRPV3,-1.0787142280459845,1.7101715801103882e-11,6.559453183340206
MT1JP,-1.0786531167891154,2.6383044150408433e-13,7.335474161499999
PDZD3,-1.0777463864302348,2.7882672556686296e-06,7.524739212448454
ENPP3,-1.0777028719075048,0.0012836790477271543,8.504080555561856
CNGA1,-1.077699901050737,3.340932561371202e-09,5.233115962108247
HRASLS2,-1.0774187312928198,0.0004507674501612019,7.574175871726805
MIER3,-1.0758486657870012,2.6629482840386303e-11,9.171630867067012
EFNA1,-1.0753492933002136,1.6602535140467352e-11,7.68172519736598
SGK2,-1.0688850652135322,2.327349738366822e-08,8.310816216386597
CYP4F12,-1.067935338717235,1.0356408936783659e-05,7.924678974530927
HEPACAM2,-1.0641295868631087,0.00394294649187674,8.667313961505155
SLC9A2,-1.063115843509511,0.0005498456253486063,8.517174593226803
ADIRF,-1.060650614941859,4.579200039061457e-05,8.050730340201032
PTPRR,-1.0579514510919692,5.370594445126101e-08,7.248790207350515
ALPI,-1.0555179111892166,0.00723460251377117,8.912976016128866
RMDN2,-1.053809451573466,5.0013318157320235e-09,6.527147869628867
SLC9A3,-1.0528199271220906,0.0001598469822351341,9.464661473376289
MYO1A,-1.0488790714841478,0.0010448411231467063,10.117881831041238
LOC100509620,-1.0452988075158567,1.1760092401477994e-08,6.755385241329897
AQP7P1,-1.0452988075158567,1.1760092401477994e-08,6.755385241329897
LOC102724507,-1.0452988075158567,1.1760092401477994e-08,6.755385241329897
ACOX1,-1.0447747250544381,3.820935080501739e-08,9.873754054350515
ENPP1,-1.0433125961902707,4.049663540643619e-09,7.893529557195876
GSTA2,-1.0316930569978817,0.019730752119979638,6.248439666458763
