gene,log2FC,FDR,AveExpr
SELL,1.0952358610111013,0.0017860303657399577,7.509618716381444
FADS2,1.0927500422716685,5.170350916332666e-05,8.50143171356701
TM4SF18,1.0917446573932335,4.133014035135059e-09,6.78757600613402
STAT1,1.0915096578261192,1.8360208899496696e-11,10.61754655286598
ADAMTS1,1.0908624019836148,8.785010032272433e-08,7.158787452443298
NNMT,1.087889770967232,1.2896522447096846e-07,8.023778012458763
LAX1,1.0862618201342507,4.631102592252785e-05,7.206676726288658
ENG,1.0841324132917514,2.681210825035358e-08,9.225876216345362
CARD6,1.0822005596659636,2.264856132938177e-09,6.291797226494844
PROK2,1.081443654105712,5.383390084269429e-05,7.7234878084948475
PCSK1,1.0789374547891137,1.5789516633534938e-05,7.293874552484537
FADS1,1.0789210479857267,6.392515447131811e-07,7.364465699201031
RGS1,1.0781783109223086,1.9448138206149993e-05,5.939444207324741
STX11,1.07737611620243,6.067650123655339e-06,7.960187153185567
FBXO16,1.0754390307785409,2.1250667216268395e-11,6.092656105515465
FN1,1.0717251126152254,0.0004998744942282767,8.9425475805567
DYSF,1.0691577102806562,8.535279753170397e-07,6.849398909304124
ME1,1.0668666827600397,5.2928013608168305e-06,8.802028116891753
STXBP1,1.0620086270068656,3.7097035894027157e-14,8.322173381541235
LOXL2,1.0601885104122628,1.4423375850940488e-06,8.200914502103094
CFH,1.0581227114059173,4.291026060524673e-05,8.069213149190722
MCTP1,1.05759231174894,7.284015165937195e-07,6.918080856448454
NUCB2,1.056946421974632,2.6629482840386303e-11,8.817331458360826
IFITM1,1.0567101552759048,3.8718229220039115e-12,10.349314395247422
FAP,1.0565890440274819,0.00018205517271439861,5.465051368082475
LOC101060256,1.0533194277552838,0.003161923137950614,8.247327343082473
LAMP3,1.0517438131976737,4.754719370509672e-06,7.689210891737114
ARHGAP29,1.0514451453985219,1.6431255025942635e-07,5.817999903618556
SLFN5,1.0499215417346708,2.6794912048427346e-10,8.737257555706185
LY96,1.046293689675478,0.0002596284933376935,6.452817271005155
IL33,1.0445539634228318,5.780060352508244e-06,5.853158135432989
PARP8,1.0425618082536996,1.436872857100695e-15,8.281491964994846
RIPK2,1.0415667708276937,5.432259949324959e-09,7.582112120046392
FFAR2,1.0383489733921794,0.00014053415179677404,6.680391288747423
IGSF6,1.0373897745132128,0.0003747687518282389,8.474322889453607
FCRL5,1.0346975418102504,0.0002684306153871204,6.794645446262887
CEACAM6,1.0337252338319267,0.0007364795763661156,11.358412851695874
SRPX2,1.0301643023520128,2.9396375834860972e-08,7.157081845551547
